Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
lazartigue-extra-gentle-shampoo-250ml,Lazartigue Extra-gentle Shampoo 250ml,"<p><p><strong>Lazartigue Extra-gentle Shampoo 250ml</strong><span> </span>is a care with rice milk and essential oils for normal hair. It gently cleanses the hair and the hair scalp. Hair is soft, supple and brilliant. It is adapted to a frequent use. 87% of ingredients are from natural origin. Sulfate free for a gentle cleansing. Silicon free for a natural touch.</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Hair Care,"Asper Beauty, Hair Care",TRUE,Title,Default Title,,,3372290125020,100,shopify,100,deny,manual,21.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/LazartigueExtra-gentleShampoo.jpg?v=1709644056,1,Lazartigue Extra-gentle Shampoo 250ml,Lazartigue Extra-gentle Shampoo 250ml,"Lazartigue Extra-gentle Shampoo 250ml is a care with rice milk and essential oils for normal hair. It gently cleanses the hair and the hair scalp. Hair is soft, supple and brilliant. It is adapted to a frequent use. 87% of ingredients are from natural origin. Sulfate free for a gentle cleansing. Silicon free for a natu",active
lazartigue-purify-shampoo-250ml,Lazartigue Purify Shampoo 250ml,"<p><p><strong>Lazartigue Purify Shampoo 250ml</strong><span> </span>is a shampoo enriched in white clay that regulates the sebum production, purifies the hair scalp without assaulting it and provides a sensation of freshness. Thus, hair greases less quickly, it is clean, shiny and light. The shampoos are gradually spaced out. Sulfate free, silicone free. 95% of ingredients are of natural origin.<strong></strong></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Hair Care,"Asper Beauty, Hair Care",TRUE,Title,Default Title,,,3372290124535,100,shopify,100,deny,manual,21.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/LazartiguePurifyShampoo.jpg?v=1709644403,1,Lazartigue Purify Shampoo 250ml,Lazartigue Purify Shampoo 250ml,"Lazartigue Purify Shampoo 250ml is a shampoo enriched in white clay that regulates the sebum production, purifies the hair scalp without assaulting it and provides a sensation of freshness. Thus, hair greases less quickly, it is clean, shiny and light. The shampoos are gradually spaced out. Sulfate free, silicone free.",active
cambrass-set-5-pcs-70,Cambrass Set 5 Pcs 70,"<p><p><strong>Cambrass Set 5 Pcs 70 </strong>is the perfect complement to the crib, it is a game that carries, Protector, duvet cover with filling and 2 matching cushions. All these pieces made with the best cotton for baby contact.</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Baby Set,"Asper Beauty, Baby Set",TRUE,Colour,ASTRA BLUE,,,8432377432634,100,shopify,100,deny,manual,98.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/Cambrass_Set_5_Pcs_70_ASTRA_BLUE.jpg?v=1709706872,1,Cambrass Set 5 Pcs 70,Cambrass Set 5 Pcs 70,"Cambrass Set 5 Pcs 70 is the perfect complement to the crib, it is a game that carries, Protector, duvet cover with filling and 2 matching cushions. All these pieces made with the best cotton for baby contact.",active
cambrass-set-of-2-towel,Cambrass Set Of 2 Towel,"<p><p><strong>Cambrass Set Of 2 Towel </strong>is made of TENCEL™. Botanical fibers that are absorbent, soft and fresh. The dimensions of 25x35cm allow use both at home and in any other place as they are easily transportable in the maternity bag. They are especially suitable for drying the newborn's drool and protecting the adult's clothes, if placed on the shoulder or for drying the newborn's sweat if placed under the head.</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Baby Towel,"Asper Beauty, Baby Towel",TRUE,Colour,FOREST BLUE,,,8432377468367,100,shopify,100,deny,manual,13.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/Cambrass_Set_Of_2_Towel_FOREST_BLUE.jpg?v=1709711539,1,Cambrass Set Of 2 Towel,Cambrass Set Of 2 Towel,"Cambrass Set Of 2 Towel is made of TENCEL™. Botanical fibers that are absorbent, soft and fresh. The dimensions of 25x35cm allow use both at home and in any other place as they are easily transportable in the maternity bag. They are especially suitable for drying the newborn's drool and protecting the adult's clothes, ",active
cambrass-square-bib,Cambrass Square Bib,"<p><p><strong>Cambrass Square Bib </strong>prevent baby from getting dirty or wet. The part that is in contact with the baby is made of 100% Egyptian cotton, thus providing a very pleasant soft finish. The inner part of the fabric, which is not in contact with the baby, has a wash-resistant plastic finish that prevents the transfer of any liquid. Made in Spain. </p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Bibs,"Asper Beauty, Bibs",TRUE,Colour,PIO BLUE,,,8432377446198,100,shopify,100,deny,manual,750.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/Cambrass_Square_Bib_PIO_BLUE.jpg?v=1709720347,1,Cambrass Square Bib,Cambrass Square Bib,"Cambrass Square Bib prevent baby from getting dirty or wet. The part that is in contact with the baby is made of 100% Egyptian cotton, thus providing a very pleasant soft finish. The inner part of the fabric, which is not in contact with the baby, has a wash-resistant plastic finish that prevents the transfer of any li",active
septona-lady-round-cotton-pads-100-pc,Septona Lady Round Cotton Pads 100 Pc,"<p><p><strong>Septona Lady Round Cotton Pads 100 Pc </strong>are the perfet way to remove your make-up, offering gentle cleansing of your skin. They are 100% cotton wool, soft and dermatologically tested. They do not shread nor tear during use. SEPTONA Baby Care cotton wool pads are especially large and super-absorbent for the natural cleaning of you<span data-mce-fragment=""1"">r baby's sensitive skin.</span></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Cotton Buds,"Asper Beauty, Cotton Buds",TRUE,Title,Default Title,,,5201410108347,100,shopify,100,deny,manual,240.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/SeptonaLadyRoundCottonPads100Pc.jpg?v=1709725603,1,Septona Lady Round Cotton Pads 100 Pc,Septona Lady Round Cotton Pads 100 Pc,"Septona Lady Round Cotton Pads 100 Pc are the perfet way to remove your make-up, offering gentle cleansing of your skin. They are 100% cotton wool, soft and dermatologically tested. They do not shread nor tear during use. SEPTONA Baby Care cotton wool pads are especially large and super-absorbent for the natural cleani",active
cambrass-stand-no-wheels,Cambrass Stand No Wheels,"<p><p><strong>Cambrass Stand No Wheels </strong>metal bassinet support without wheels is an easily transportable folding structure. Thanks to its dimensions (47x84x61cm.), it can be used both for a small Cambrass cradle and for others with similar dimensions. It is made of off-white lacquered iron and its height allows visibility of the baby. It includes a safety closure that prevents creasing and contains four non-slip rubber cleats in the ends of the feet.</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Stand,"Asper Beauty, Stand",TRUE,Title,Default Title,,,8432377328012,100,shopify,100,deny,manual,35.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/CambrassStandNoWheels.jpg?v=1709730103,1,Cambrass Stand No Wheels,Cambrass Stand No Wheels,"Cambrass Stand No Wheels metal bassinet support without wheels is an easily transportable folding structure. Thanks to its dimensions (47x84x61cm.), it can be used both for a small Cambrass cradle and for others with similar dimensions. It is made of off-white lacquered iron and its height allows visibility of the baby",active
cambrass-super-absorber-60x120-white,Cambrass Super Absorber 60x120 White,"<p><p><strong>Cambrass Super Absorber 60x120 White </strong>for cribs, it helps the baby sleep dry. It allows liquids to remain in the lower layers, keeping the baby dry at all times. It is also scented, which gives the baby a feeling of comfort and additional freshness.</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fitted Sheet,"Asper Beauty, Fitted Sheet",TRUE,Title,Default Title,,,8432377030335,100,shopify,100,deny,manual,30.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/CambrassSuperAbsorber60x120White.jpg?v=1709730965,1,Cambrass Super Absorber 60x120 White,Cambrass Super Absorber 60x120 White,"Cambrass Super Absorber 60x120 White for cribs, it helps the baby sleep dry. It allows liquids to remain in the lower layers, keeping the baby dry at all times. It is also scented, which gives the baby a feeling of comfort and additional freshness.",active
jacques-bogart-club-75-edt-100ml-for-men,Jacques Bogart Club 75 EDT 100ML For Men,<p><p><strong>Jacques Bogart Club 75 EDT 100ML For Men.</strong></p></p>,Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Title,Default Title,,,ASPER-1769145122447-9543,100,shopify,100,deny,manual,39.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/JacquesBogartClub75EDT100MLForMen.jpg?v=1709731591,1,Jacques Bogart Club 75 EDT 100ML For Men,Jacques Bogart Club 75 EDT 100ML For Men,Jacques Bogart Club 75 EDT 100ML For Men.,active
jacques-bogart-club-75-vip-edt-100ml-for-men,Jacques Bogart Club 75 VIP EDT 100ML for Men,<p><p><strong>Jacques Bogart Club 75 VIP EDT 100ML for Men.</strong></p></p>,Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Title,Default Title,,,ASPER-1769145122448-9544,100,shopify,100,deny,manual,39.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/JacquesBogartClub75VIPEDT100MLforMen.jpg?v=1709731925,1,Jacques Bogart Club 75 VIP EDT 100ML for Men,Jacques Bogart Club 75 VIP EDT 100ML for Men,Jacques Bogart Club 75 VIP EDT 100ML for Men.,active
