Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
maybelline-instant-age-rewind-eraser-dark-circles-treatment-concealer,Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer,"<p><p><strong>Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer </strong> is the do-it-all concealer that moisturizes too! This multi-use concealer does it all: hydrates, conceals, contours and corrects in a click! Get up to 12 hours of moisturizing wear for crease-resistant coverage and a sponge tip applicator. and formulated without mineral oil, parabens or talc.</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Concealer,"Express_Delivery, Asper Beauty, Concealer",TRUE,Colour,01 LIGHT,,,3600530733842,100,shopify,100,deny,manual,12.30,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/Maybelline_Instant_Age_Rewind_Eraser_Dark_Circles_Treatment_Concealer.jpg?v=1754898237,1,Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer,Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer,"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer is the do-it-all concealer that moisturizes too! This multi-use concealer does it all: hydrates, conceals, contours and corrects in a click! Get up to 12 hours of moisturizing wear for crease-resistant coverage and a sponge tip applicator. and formul",active
maybelline-fit-me-concealer,Maybelline Fit Me Concealer,"<p><p><strong>Maybelline Fit Me Concealer</strong> is for flawless, natural coverage. These oil-free concealers match skin tones to deliver a more even complexion.<br data-mce-fragment=""1"">Skin looks perfected with this natural coverage liquid concealer. These oil-free concealers conceal redness, flaws, and blemishes. Shades of concealers for various skin tones. Dermatologist tested. Ophthalmologist tested. Non-comedogenic concealer. Fragrance-free. Packaging may vary, what you receive may not be what is reflected on site.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Creamy feel medium coverage concealer, perfect for hiding blemishes and dark circles.<br data-mce-fragment=""1"">Exclusive translucent base and lightweight pigments allow skin's natural highs and lows to show through<br data-mce-fragment=""1"">Non-comedogenic<br data-mce-fragment=""1"">Dermatologist tested<br data-mce-fragment=""1"">Ophthalmologist tested<br data-mce-fragment=""1"">Fragrance-free</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Concealer,"Express_Delivery, Asper Beauty, Concealer",TRUE,Colour,10 FAIR,,,30096585,100,shopify,100,deny,manual,890.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/MaybellineFitMeConcealer.jpg?v=1755597106,1,Maybelline Fit Me Concealer,Maybelline Fit Me Concealer,"Maybelline Fit Me Concealer is for flawless, natural coverage. These oil-free concealers match skin tones to deliver a more even complexion. Skin looks perfected with this natural coverage liquid concealer. These oil-free concealers conceal redness, flaws, and blemishes. Shades of concealers for various skin tones. Der",active
maybelline-baby-skin-instant-pore-eraser,Maybelline Baby Skin Instant Pore Eraser,"<p><h4 style=""background: white; margin: 7.5pt 0cm 11.25pt 0cm;""><span style=""font-size: 10.0pt; font-family: 'Arial',sans-serif; color: #111111; background: white; font-weight: normal;""><strong>Maybelline Baby Skin Instant Pore Eraser </strong> pore-blurring makeup primer, Baby Skin goes on like a moisturizer to help create a smooth canvas over which to apply foundation, and leaves the skin looking matte and poreless.</span></h4></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Primer,"Asper Beauty, Primer",TRUE,Title,Default Title,,,3600530941278,100,shopify,100,deny,manual,870.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/MaybellineBabySkinInstantPoreEraser.jpg?v=1752143230,1,Maybelline Baby Skin Instant Pore Eraser,Maybelline Baby Skin Instant Pore Eraser,"Maybelline Baby Skin Instant Pore Eraser pore-blurring makeup primer, Baby Skin goes on like a moisturizer to help create a smooth canvas over which to apply foundation, and leaves the skin looking matte and poreless.",active
maybelline-fit-me-matte-poreless-liquid-foundation-tube,Maybelline Fit Me Matte + Poreless Liquid Foundation Tube,"<p><p><strong>Maybelline Fit Me Matte + Poreless Liquid Foundation Tube</strong> lightweight matte liquid foundation, Oil Free, Perfect for normal, combination and oily skin<br>Natural finish skin looks fresh not cakey or dry<br>Simply apply foundation onto skin and blend with fingertips, foundation brush, or makeup sponge<br>Flexible Micro-Powders help blur the appearance of pores, Available in several shades, Suitable for all skin tones and shades</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Foundation,"Express_Delivery, Asper Beauty, Foundation",TRUE,Colour,100 WARM IVORY,,,3600531369330,100,shopify,100,deny,manual,10.80,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/MaybellineFitMeMatte_PorelessLiquidFoundationTube_43d4cf49-2e65-4cb5-8ae2-3e2968317cd5.jpg?v=1754916556,1,Maybelline Fit Me Matte + Poreless Liquid Foundation Tube,Maybelline Fit Me Matte + Poreless Liquid Foundation Tube,"Maybelline Fit Me Matte + Poreless Liquid Foundation Tube lightweight matte liquid foundation, Oil Free, Perfect for normal, combination and oily skin Natural finish skin looks fresh not cakey or dry Simply apply foundation onto skin and blend with fingertips, foundation brush, or makeup sponge Flexible Micro-Powders h",active
rimmel-eyebrow-pencil,Rimmel Eyebrow Pencil,<p><p><strong>Rimmel Eyebrow Pencil </strong>is used to enhance and refine the shape of the eyebrows</p></p>,Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Eyebrow,"Asper Beauty, Eyebrow",TRUE,Colour,002 HAZEL,,,5012874026760,100,shopify,100,deny,manual,450.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/products/RIMMELEYEBROWPENCIL.jpg?v=1660820577,1,Rimmel Eyebrow Pencil,Rimmel Eyebrow Pencil,Rimmel Eyebrow Pencil is used to enhance and refine the shape of the eyebrows,active
essence-i-love-extreme-crazy-volume-mascara,Essence I Love Extreme Crazy Volume Mascara,"<p><p><strong>Essence I Love Extreme Crazy Volume Mascara  </strong>is<strong> </strong>even more volume! The deep-black, creamy texture covers each individual lash with color and the extra-large plastic brush provides sensational volume. Ophthalmologically tested<br><br><strong>Impotent Note: We would like to inform you that the global company Essence has updated the design of its mascara. This is the new, officially developed version.</strong></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Makeup,"Express_Delivery, Asper Beauty, Makeup",TRUE,Title,Default Title,,,4250587739084,100,shopify,100,deny,manual,300.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/Essence_I_Love_Extreme_Crazy_Volume_Mascara_Free_Eyelash_Brush_32840d02-98f4-4f0b-b5ad-ef662716edd9.jpg?v=1767779049,1,Essence I Love Extreme Crazy Volume Mascara,Essence I Love Extreme Crazy Volume Mascara,"Essence I Love Extreme Crazy Volume Mascara is even more volume! The deep-black, creamy texture covers each individual lash with color and the extra-large plastic brush provides sensational volume. Ophthalmologically tested Impotent Note: We would like to inform you that the global company Essence has updated the desig",active
essence-i-love-extreme-volume-mascara,Essence I Love Extreme Volume Mascara,"<p><h4 style=""margin: 0cm 0cm 12.0pt 0cm;""><span style=""font-size: 10.5pt; font-family: 'Segoe UI',sans-serif; color: #212b36; font-weight: normal;""><strong>Essence I Love Extreme Volume Mascara </strong> is For all fans of the extreme this volume mascara will hit just the right spot! it contains ultra black pigments covering each lash color intensive and a large brush for stunning volume. This combination gives the perfect ""I love look""</span></h4></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Makeup,"Express_Delivery, Asper Beauty, Makeup",TRUE,Title,Default Title,,,4250338487516,100,shopify,100,deny,manual,300.00,450.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/EssenceILoveExtremeVolumeMascara.jpg?v=1752058477,1,Essence I Love Extreme Volume Mascara,Essence I Love Extreme Volume Mascara,"Essence I Love Extreme Volume Mascara is For all fans of the extreme this volume mascara will hit just the right spot! it contains ultra black pigments covering each lash color intensive and a large brush for stunning volume. This combination gives the perfect ""I love look""",active
essence-stay-all-day-16h-long-lasting-foundation,Essence Stay All Day 16h Long-lasting Foundation,"<p><p><strong>Essence Foundation Stay All Day 16h  </strong>is long-lasting foundation ensures a smooth and silky complexion all day long. its delicate texture allows a simple and even application. thanks to the high-quality pump dispenser, it’s easy to find the perfect dosage for an indescribably beautiful look. dermatologically tested.</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Foundation,"Express_Delivery, Asper Beauty, Foundation",TRUE,Colour,09 GOLDEN BEIGE,,,4059729339096,100,shopify,100,deny,manual,400.00,600.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/products/ESSENCE_FOUNDATION_STAY_ALL_DAY_16_H.jpg?v=1581250589,1,Essence Stay All Day 16h Long-lasting Foundation,Essence Stay All Day 16h Long-lasting Foundation,"Essence Foundation Stay All Day 16h is long-lasting foundation ensures a smooth and silky complexion all day long. its delicate texture allows a simple and even application. thanks to the high-quality pump dispenser, it’s easy to find the perfect dosage for an indescribably beautiful look. dermatologically tested.",active
seventeen-foundation-time-plus,Seventeen Foundation Time Plus,"<p><p><strong>Seventeen Foundation Time Plus</strong> A long-lasting, liquid makeup for superior coverage and protection against the harmful effects of the sun.<br>Suitable for all skin types<br>Ultra-light, non-oily texture, for a superb, matte finish<br>Offers superior coverage<br>Enriched with moisturizing agents that maintain skin’s natural moisture level<br>Specially designed formula enriched with beeswax, for extra long-wear<br>With sun filters SPF 15 to protect against the harmful effects of the sun</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Foundation,"Express_Delivery, Asper Beauty, Foundation",TRUE,Colour,1 PORCELAIN,,,5201641653098,100,shopify,100,deny,manual,750.00,790.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/products/SEVENTEENFOUNDATIONTIMEPLUS.jpg?v=1660992908,1,Seventeen Foundation Time Plus,Seventeen Foundation Time Plus,"Seventeen Foundation Time Plus A long-lasting, liquid makeup for superior coverage and protection against the harmful effects of the sun. Suitable for all skin types Ultra-light, non-oily texture, for a superb, matte finish Offers superior coverage Enriched with moisturizing agents that maintain skin’s natural moisture",active
seventeen-natural-velvet-moisturizing-lasting-foundation,Seventeen Natural Velvet Moisturizing Lasting Foundation,"<p><p><strong>Seventeen Natural Velvet Moisturizing Lasting Foundation</strong> Liquid non-oily make up with an innovative formula.<br>Ideal for all skin types.<br>Offers matte effect and velvet touch.<br>Provides perfect coverage thanks to its creamy texture!<br>Renews skin offering hydration as well as anti-wrinkle protection throughout the day.<br>Contains Vitamins A, E &amp; F as well as natural polysaccharides.<br>These ingredients’ complex captures the hydration the skin needs and at the same time contributes to minimizing thin expression lines.<br>Enriched with SPF 20 for skin protection against sun damage, capturing free radicals.<br>Applied easily it offers an even, natural result and stays set all day long.<br>Gluten Free</p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Skin Care,"Express_Delivery, Asper Beauty, Skin Care",TRUE,Colour,3 LIGHT BEIGE,,,5201641708347,100,shopify,100,deny,manual,12.00,14.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/products/SEVENTEENNATURALVELVETMOISTURIZINGLASTINGFOUNDATION.jpg?v=1660993362,1,Seventeen Natural Velvet Moisturizing Lasting Foundation,Seventeen Natural Velvet Moisturizing Lasting Foundation,Seventeen Natural Velvet Moisturizing Lasting Foundation Liquid non-oily make up with an innovative formula. Ideal for all skin types. Offers matte effect and velvet touch. Provides perfect coverage thanks to its creamy texture! Renews skin offering hydration as well as anti-wrinkle protection throughout the day. Conta,active
